isch,is
ich,I
du,you
es,a
das,the
mir,to me
de,the
was,what
e,a
si,she/they/to be
s,the
hesch,you have
d,the
ha,I have
jo,yes
scho,already
und,and
i,in
wie,how
z,to
nid,not
am,to the/at/on
für,for
gärn,to like
mit,with
uf,to/for
so,so
bisch,you are
gsi,past tense
im,in the
guet,good
het,it has
aber,but
do,there
bi,I am
sind,they are
hend,we have
no,still
au,also
wo,where
cha,I can
wenn,when/if
vil,too much
oder,or
vo,of
er,he
nei,no
dir,to you
jetz,now
mache,I make
go,to do
chasch,you have
ir,you/they
chum,to come
münd,we must
kei,no (negative)
chli,little
goht,he/she goes
em,a
öppis,something
di,to you
gönd,we go
sehr,very
chönd,we can
sicher,definitely
goh,I go
üs,our
dass,that
wii,wine
mues,I must
det,the
a,to
gha,had
schwiiz,Switzerland
hüt,today
wär,who
einisch,once
oh,oh
wider,again
nur,only
immer,always
mer,we
zum,to
lueg,to look
lang,long
doch,but
ziit,time
schwiizer,Swissian
gseh,I saw
mini,my
dini,your
gohsch,you go
dä,there
he,
wallis,
machsch,you make
grad,right now
us,us
züri,Zurich
denn,then
mal,time 
danke,thank you
chömed,come
hund,dog
lieber,rather
vor,before
mol,time
wau,wow
bitte,please
git,gives
liebe,I love
gmacht,made
dehei,at home
schaffe,to work/do
mich,me
zug,bus
tag,day
fahre,I drive/go
sich,itself
wottsch,you want
tue,I do
mine,my
genau,exactly
die,the
vilicht,maybe
alles,everything
macht,I make
aa,towards someone?
meh,more
dine,your
gö,go
eifach,simply
mäntig,monday
mi,my
zäme,together
klar,clear
tuesch,you do
uus,out
sii,to be
chind,child
dem,the
als,as
cho,I come
tuet,does
würklich,really
diis,yours
dich,you
besser,better
gäll,isn't it
chunsch,you come
öpper,someone
beschte,best
woäne,where to
über,about
dänksch,thanks
rede,I say
mached,made
wiso,why
schnäll,fast
tsiischtig,Tuesday
vom,from the
ganz,entire
kafi,cofee
muesch,you must
möcht,would like
üsi,our
würd,would
hünd,dog
miis,my
könnsch,can
alli,all
weles,which
viel,a lot
chö,come
ah,oh
los,go
bis,until
lose,I listen
mega,mega
chaufe,to buy
mängisch,sometimes
hei,home
diim,your
lüüt,people
nümm,no more
nöchschte,next
schtrom,I don't know
schii,snow
zwöi,two
möchtisch,you would like
problem,problem
französisch,french
ja,yes
nüüt,not
probiert,he tries
you,du
super,super
to,to
musig,music
gnueg,enough
is,is
chume,come
issisch,you eat
ne,no
bald,soon
reis,travels
guete,good
öich,you (formal)
mach,do
luscht,lust
schproche,speaks
wält,world
gäld,money
nime,take
trinksch,you drink
sache,thing
jede,every
ab,down
liebschte,loves
glück,luck
hunger,hunger
schwümme,I swim
auto,car
nie,never
gwüsst,knew
wird,will be
bier,beer
richtig,right
chunt,comes
nonig,not yet
anderi,different
glaub,I believe
obig,evening
schön,beautiful
luege,I look
schatz,sweetheart
wasser,water
momänt,moment
zue,to
zoo,zoo
bei,leg
wott,I want
weisch,you know
iri,to/for
frau,woman
trinke,I drink
jetzt,now
weiss,I know
fitness,fitness
schtimmt,correct
dusse,outside
fründe,friends
finde,I find
mittwuch,Wednesday
angscht,fear
um,to
äne,over there
ohni,without
findsch,you find
leid,suffering
chalt,cold
chunnt,comes
brienz,Brienz
eric,eric
näf,näf
ässe,I eat
wohär,where from
wohnig,apartment
bitzeli,little
hälfe,help
sunntig,Sunday
hoi,hi
emene,a
parat,ready
the,the
morn,tomorrow
uuf,up
donnschtig,thursday
oje,oh
konzärt,concert
träniere,to train
turne,turned
weh,pain
anders,other
grüezi,hello
ihr,you
zrugg,back
schöne,beautiful
wäg,because of
sie,they
nume,only
wätter,weather
johr,year
zvieri,afternoon snack
maa,maybe
berüehre,to touch
lueged,lied
sini,his
voll,full
minere,mine
keis,none
underwägs,on the way
reded,I read
bruuche,I need
schwiizertütsch,swiss german
läbe,life
gange,went
sorge,worry
hätti,would have
zahled,paid
tüür,door
hallo,hello
morge,morning
velo,bike
elei,alone
gar,at all
söll,should
sölle,should
schöns,beautiful
lädele,shop
erschte,first
zmorge,breakfast
lieder,songs
badi,bath
sushi,sushi
zu,to
röschti,röschti
reise,travel
fahrt,to drive
tönt,sounds
sion,sion
meinsch,you think
daf,unclear
weli,which
hundeguetsli,cookies
buuch,stomach
rebecca,Rebecca
ine,none
abe,down
wivil,how many
gfallt,falls
schlimm,bad
ok,ok
tanze,I dance
komplimänt,compliment
and,and
schultere,shoulders
lüüte,call
redt,speaks
träffe,meet
wuchenänd,weekend
pause,pause
ferie,holidays
üses,use
probiere,I try
fuess,foot
mh,mm
drum,
heisst,is called
wünsched,wish
siite,side
noch,still
familie,family
würdsch,would
gueti,good
leider,unfortunately
garte,garden
eis,one
wohl,probably
samschtig,Saturday
choschtet,costs
dänkt,thinks
norde,north
nöis,new
merci,thanks
wichtig,important
schtress,stress
passiert,happens
öppe,about
rächt,right
grosse,big
fläsche,bottle
villicht,maybe
verschtohsch,you understand
sött,should
plausch,fun
gulasch,Goulash
gseit,said
wäge,because of
schtund,hour
defür,for
redsch,talks
friitig,Friday
vergässe,forget
chopf,head
verschtoh,understand
bahnhof,train station
guets,good
bruuched,needed
wölle,want
bescht,best
tram,tram
buech,book
üebig,practice
lost,life
säged,said
want,want
glohnt,to have
druf,on it
nacke,neck
hüfte,hip
priis,price
gäbig,convenient
bärge,mountains
hey,hey
fahred,drove
pilz,mushroom
gfunde,found
bilet,ticket
möchted,would like
möglich,possible
fertig,finished
heiss,hot
wältundergang,world ending
internet,internet
schpared,saved
loh,perhaps
also,so
in,internet
losisch,you listen
fit,fit
mond,month
ort,place
chönne,can
lied,lied
glost,shone
hulahop,hulahoop
herr,mister
füf,five
gäge,walked
näh,take
gäh,I give
bliib,I stay
gläsli,small glass
bärn,bern
lieb,love
huustier,pet
bruuchsch,you need
lo,
schwirig,difficult
losed,closed
schiff,ship
gnüssed,enjoy
verzell,tells
devo,I have to
schoggi,chocolate
schöni,beautiful
fribourg,Friborg
leine,leash
schpaziere,stroll
pass,pass
ga,go
mü,must
laufe,run
ufe,up
mag,to like/continue
süsch,otherwise
halt,stop
hüüfig,often
schwiz,swiss
mueter,mother
ersch,first
letschte,last
norwege,Norwegian
plötzlich,suddenly
säge,to say
leere,empty
bim,at
perfäkt,perfect
hundebsitzer,dog owner
brave,brave
dressiert,desesrt
nimmsch,you take
chönnted,could
händy,phone
use,use
natürlich,naturally
lieblings,favorite
paul,Paul
chochsch,cook
grossartig,great
vater,father
glas,glass
schpare,save
müsse,must
dinere,your
sogar,even
schpannend,exciting
poschte,possessions
ghört,heard
fescht,party
wuche,week
bliibe,stay
znüüni,morning snack
tünd,do
sitz,seat
dezue,to it
billet,ticket
müed,tired
möchti,would like
sötted,should
fastfuud,fast food
schpöter,later
welem,which
schwiizerdütsch,Swiss German
leersch,empty
miim,mine
minute,minute
choche,cook
sitte,custom
dene,yours
hilf,help
schpontan,spontaneous
drus,out of
schwede,Swede
finnland,Finland
chalte,cold
überall,everywhere
arbet,work
andersch,different
summer,summer
füess,feet
bewege,move
wohne,live
sälber,themselves
dafsch,you are allowed to
wele,which
fein,tasty
ii,inside
gschicht,story
wiiter,further
wald,forest
fröie,excited
mami,Mom
chönnti,could
schpeziells,special
reisisch,travel
fondü,fondue
achti,eight years old
nüt,nothign
zahlsch,pay
kanton,canton
matterhorn,matterhorn
zwei,two
dütsch,German
schwiizertüütsch,Swiss German
wiit,far
geschter,yesterday
polizei,police
tisch,table
kuul,hears
vore,before
wandere,wander
zucker,sugar
schpringe,jump
schaffsch,to work
platz,place
billiger,cheaper
online,online
entschpanne,relax
schpile,play
gäbed,gave
schätzeli,sweetheart
niemer,no one
what,what
of,often
gib,to give
hilft,helps
händ,
früschi,fresh
luft,air
füürwärch,fireworks
david,David
heimatland,homeland
miete,rent
sali,salt
südweschte,southwest
underwallis,Underwallis
oberwallis,Oberwallis
wallisertütsch,Walliser German
chuderwälsch,gibberish
wirklich,really
oberwalliseri,of oberwallis
underwalliser,Walliser
wallisertüütsch,wallis dialect
fän,fan
walliser,a person from Wallis
uuftue,I open
gschpür,feel
trümmlig,clumsy
töönt,sounds
bsoffe,drunk
heifahre,drive home
wasserchraftwärk,hydroelectric power station
aletschgletscher,Aletsch Glacier
thermalbäder,thermal baths
produziered,produced
usser,outside
schproch,speak
redet,says
dihei,at home
wallissertütsch,valais dialect
liebste,dearest
wönd,want
hole,to get
iilade,to invite
üse,use
blätter,leaves
nöchscht,next
paar,few
sit,since
nöii,new
nöi,new
nase,nose
